"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASHGV40028976",1.275321515,4.33259510633333,5.92443281656318,8.25372785624044e-05,0.0015994775760534,1.46991200334468
"ASHGV40050072",-1.46746362716667,4.11958354775,-5.92354621655951,8.26469838816603e-05,0.00160035221982622,1.46853387686894
"ASHGV40055648",-1.21271383733333,4.36884654533333,-5.9234323276106,8.26610873900799e-05,0.00160035221982622,1.46835684039517
"ASHGV40041272",-1.70211050533333,10.5716265773333,-5.92064357477794,8.30072330499199e-05,0.00160501691686892,1.4640212456289
"ASHGV40044067",-1.05109332533334,7.33584059233333,-5.91690115152197,8.34741709881965e-05,0.00161098286223394,1.45820127356505
"ASHGV40005542",1.58125035083333,4.18834762175,5.91199684608566,8.40903024994233e-05,0.00161925115952196,1.45057141155615
"ASHGV40005027",-1.07932864433333,7.14541313483333,-5.90767643690994,8.46370801097594e-05,0.00162622581127769,1.44384711896848
"ASHGV40031237",2.63620652383333,4.15238231791667,5.90739495530666,8.46728342965875e-05,0.00162640070510386,1.44340892864942
"ASHGV40009505",1.2345258495,5.60385106441667,5.90553294458912,8.49097538146939e-05,0.00162941283546789,1.44051000125847
"ASHGV40023414",-1.36035177416667,3.93838362158333,-5.90479316454722,8.50040776386212e-05,0.00163019762219334,1.4393581159722
"ASHGV40021792",1.213526132,7.17902173683333,5.90391794455418,8.51158140959197e-05,0.00163069545045756,1.43799524171276
"ASHGV40036955",-2.11214848133333,3.67768504916667,-5.90030160414238,8.55791565233603e-05,0.00163711048516663,1.43236280035009
"ASHGV40044727",2.96542505016667,7.85098388275,5.89806826849504,8.58666389842334e-05,0.00164003936694017,1.42888345917364
"ASHGV40029392",1.13212681766667,9.24998369516667,5.89547047168226,8.62023266581338e-05,0.00164490643589305,1.42483542952753
"ASHGV40058010",1.3978403485,4.79045692908333,5.89491505716522,8.62742780353292e-05,0.00164576478362861,1.42396982794248
"ASHGV40015891",-1.08485699416667,9.18875339091667,-5.89450341381526,8.63276456645372e-05,0.00164626820282272,1.42332826240302
"ASHGV40044321",1.10750039833333,10.6762255925,5.89421008122524,8.63656962451411e-05,0.00164647930261277,1.4228710750891
"ASHGV40037778",1.62135753333333,3.77794308233333,5.89374029633701,8.64266730037367e-05,0.00164712719968146,1.42213884432004
"ASHGV40025574",1.64729213,3.64580300266667,5.89346489374608,8.64624407370602e-05,0.00164727152559808,1.42170957319505
"ASHGV40045522",-1.00101195083333,5.93695578075,-5.89249441554092,8.65886062862961e-05,0.00164815443231907,1.42019679918109
"ASHGV40049033",1.90938494233333,9.46715982683333,5.88990484647715,8.6926216871187e-05,0.00165354908302597,1.41615954498905
"ASHGV40021623",1.14515249416667,5.15266543225,5.88927527443894,8.70085072430491e-05,0.00165408322305291,1.41517787026306
"ASHGV40021289",1.72025992666667,7.1832263005,5.884009235427,8.77000707316549e-05,0.00166473981896901,1.40696447592343
"ASHGV40015672",-1.15073477383333,5.13734760658333,-5.88396830568978,8.77054686350513e-05,0.00166473981896901,1.40690062277268
"ASHGV40047598",2.4277786825,7.37215478208333,5.87679773559564,8.86566047420838e-05,0.00167859687904863,1.39571038293587
"ASHGV40012951",1.33228172866667,5.8108179475,5.87667250933536,8.86733122715546e-05,0.00167859687904863,1.39551489269996
"ASHGV40056584",3.45088354983333,7.93348758175,5.87453039616688,8.89596285104332e-05,0.00168187196535033,1.39217050361855
"ASHGV40034275",-1.07978011016667,3.55030383225,-5.87448017661454,8.89663526506105e-05,0.00168187196535033,1.39209209018603
